,CodeN,Titulo,Area,Horas,DataInicio,DataFim,code_fina,costo
20,Cejj4923,Estudo do impacto das mudanças climáticas em ecossistemas marinhos,Oceanografia,758,7/7/2019,30/8/2019,C,1803
21,BdG3208,Desenvolvimento de tecnologias para a produção de alimentos sustentáveis,Agricultura Sustentável,562,2/12/2021,30/5/2022,B,47065
24,BeT2686,Estudo da evolução de comportamentos sociais em comunidades humanas,Sociologia,737,23/9/2018,16/1/2019,B,46161
29,CtN1727,Terraforming: A Possibility for Mars Exploration,Astronomia,597,4/6/2018,14/8/2018,C,1717
30,Cadd1010,Astronomy at the Crossroads: The Future of Space Science,Astronomia,1453,14/7/2021,27/9/2021,C,8892
31,Abrr1615,Biodiversity and Climate Change,Biologia,866,30/1/2019,19/6/2019,A,99539
33,CdW859,Developing a Universal Vaccine for Emerging Diseases,Imunologia,1467,15/6/2021,13/10/2021,C,8455
34,CeO826,Efficient Utilization of Renewable Energy Sources,Energia Renovável,765,19/8/2020,17/9/2020,C,8759
35,AbV2733,Bioremediation: Saving the Environment through Microbes,Microbiologia,319,25/4/2021,30/7/2021,A,92899
36,AgH2764,Genome Editing: A Boon in Medical Science,Genética,871,13/6/2018,4/10/2018,A,51333
41,Cuww2316,Unlocking the Mysteries of the Human Brain: Breakthroughs in Neuroscience,Neurociência,376,13/2/2020,31/7/2020,C,4985
44,CtU2507,The Race for a Cure: Investigating Cancer and Other Life-threatening Diseases,Oncologia,427,20/4/2019,3/9/2019,C,1911
56,Beza312,Exploring the Deep Sea: Discoveries of New Species and Ecosystems,Oceanografia,1303,1/12/2022,27/1/2023,B,47183
90,Beuu2183,Estudo da biodiversidade da Amazônia,Biologia,362,28/4/2020,22/7/2020,B,10977
91,Cdkk1768,Desenvolvimento de materiais ecológicos,Química,1060,26/5/2020,10/7/2020,C,8559
92,Aehh801,Estudo de efeitos climáticos,Geografia,1199,15/2/2020,12/3/2020,A,72449
93,Aeii4237,Exploração de novos planetas habitáveis,Astronomia,834,16/5/2019,12/10/2019,A,98499
94,AaF2299,Análise de comportamento animal,Biologia,1086,10/8/2021,10/9/2021,A,98968
95,Cirr4339,Investigação de novas energias renováveis,Engenharia,763,15/10/2022,15/12/2022,C,3162
96,CeX4563,Estudo da anatomia humana,Medicina,426,26/9/2021,19/2/2022,C,2649
97,Cdrr3203,Desenvolvimento de novos medicamentos,Farmacologia,339,29/6/2019,26/8/2019,C,2977
98,AaQ3656,Análise de dados genéticos,Genética,442,30/4/2019,21/9/2019,A,61912
99,Ceza2380,Estudo da evolução humana,Antropologia,1410,3/4/2021,4/9/2021,C,5461
100,Cduu702,Desenvolvimento de inteligência artificial,Ciência da Computação,1361,27/5/2021,15/9/2021,C,4687
102,Aatt3001,Análise da dinâmica dos oceanos,Oceanografia,1407,28/8/2022,20/11/2022,A,78907
103,Aiab527,Investigação de novos materiais para construção,Engenharia,518,27/11/2020,21/2/2021,A,51343
104,Ceza213,Estudo de novas fontes de energia,Física,1472,12/2/2021,9/3/2021,C,3283
105,Cajj68,Análise de dados de comportamento de mercado,Economia,361,3/8/2021,30/11/2021,C,4168
107,AdV1342,Desenvolvimento de tecnologia de transporte sustentável,Engenharia,1371,24/3/2019,24/7/2019,A,91850
108,Bedd3954,Estudo de patologias cerebrais,Neurociência,1173,25/8/2018,15/10/2018,B,38682
111,Bdgg4630,Desenvolvimento de novas técnicas cirúrgicas,Medicina,934,7/7/2020,27/10/2020,B,39656
112,Aaww4171,Análise de dados de impacto ambiental,Meio Ambiente,1012,10/4/2020,17/6/2020,A,78410
113,AeG3370,Estudo de comportamentos sociais,Sociologia,1314,5/9/2021,1/10/2021,A,52507
114,AiU3006,Investigação de novos métodos de aprendizagem,Psicologia,870,12/1/2020,14/3/2020,A,50661
115,AeU4820,Estudo de tecnologia de reconhecimento facial,Ciência da Computação,956,19/8/2022,14/11/2022,A,99993
116,AdY1397,Desenvolvimento de novos alimentos funcionais,Nutrição,695,8/4/2019,2/6/2019,A,70789
117,BaG227,Análise de dados de mercado financeiro,Economia,464,18/1/2021,14/6/2021,B,10047
118,Ceff4825,Estudo de processos de inteligência e cognição,Psicologia,623,28/8/2018,25/9/2018,C,9198
119,Aeyy2825,Estudo da biodiversidade da Amazônia,Biologia,1439,15/6/2018,14/7/2018,A,59050
120,BdR1121,Desenvolvimento de materiais ecológicos,Química,1020,14/3/2020,6/6/2020,B,37782
121,BeL326,Estudo de efeitos climáticos,Geografia,560,22/9/2020,17/12/2020,B,37630
122,BeJ2043,Exploração de novos planetas habitáveis,Astronomia,818,9/10/2019,10/11/2019,B,11703
123,AaY1046,Análise de comportamento animal,Biologia,1372,12/3/2022,26/7/2022,A,55695
124,Biab812,Investigação de novas energias renováveis,Engenharia,400,14/11/2022,25/12/2022,B,48924
125,AeQ652,Estudo da anatomia humana,Medicina,434,6/3/2022,4/4/2022,A,97786
126,CdD2500,Desenvolvimento de novos medicamentos,Farmacologia,611,16/12/2020,6/2/2021,C,9835
127,AaO3754,Análise de dados genéticos,Genética,338,12/2/2018,1/4/2018,A,84949
128,CeR883,Estudo da evolução humana,Antropologia,1145,22/10/2022,30/11/2022,C,4256
129,Cdvv1149,Desenvolvimento de inteligência artificial,Ciência da Computação,1036,2/1/2020,30/2/2020,C,9260
131,AaT913,Análise da dinâmica dos oceanos,Oceanografia,402,5/11/2019,10/2/2020,A,92051
132,CiB4784,Investigação de novos materiais para construção,Engenharia,456,6/5/2021,3/7/2021,C,8985
133,Cevv1600,Estudo de novas fontes de energia,Física,948,2/8/2022,26/11/2022,C,9043
134,Aarr1736,Análise de dados de comportamento de mercado,Economia,1436,17/5/2020,8/10/2020,A,81597
136,Bdhh4689,Desenvolvimento de tecnologia de transporte sustentável,Engenharia,1381,29/7/2018,17/12/2018,B,30330
137,Cell3472,Estudo de patologias cerebrais,Neurociência,385,22/11/2018,5/4/2019,C,7642
140,AdF4826,Desenvolvimento de novas técnicas cirúrgicas,Medicina,1126,17/8/2022,8/10/2022,A,52568
141,CaS4039,Análise de dados de impacto ambiental,Meio Ambiente,682,25/4/2019,27/8/2019,C,7672
142,Beab4538,Estudo de comportamentos sociais,Sociologia,356,18/10/2022,25/12/2022,B,31797
143,AiA2345,Investigação de novos métodos de aprendizagem,Psicologia,1364,25/7/2022,17/11/2022,A,76267
144,Beee1027,Estudo de tecnologia de reconhecimento facial,Ciência da Computação,634,14/3/2019,19/4/2019,B,20961
145,CdW3045,Desenvolvimento de novos alimentos funcionais,Nutrição,776,21/5/2021,15/8/2021,C,2719
146,Camm473,Análise de dados de mercado financeiro,Economia,348,10/10/2018,20/3/2019,C,8841
147,CeT1730,Estudo de processos de inteligência e cognição,Psicologia,1285,10/10/2018,30/12/2018,C,3528
148,AeP4374,Estudo da variabilidade climática e suas influências no ecossistema marinho,Oceanografia,1028,23/12/2022,8/4/2023,A,82846
156,AaX422,Análise da influência do clima na produtividade agrícola,Agricultura,1346,17/3/2020,1/6/2020,A,54451
157,BeH3258,Estudo da influência das mudanças climáticas na produção de energia renovável,Energia Renovável,678,9/12/2020,3/2/2021,B,26883
160,BaV3520,Análise do impacto do turismo na preservação ambiental,Turismo Sustentável,1419,23/3/2022,13/6/2022,B,32885
168,Aoii4766,O impacto do aquecimento global na biodiversidade,Ecologia,1192,5/7/2018,18/9/2018,A,83305
170,AaP1608,A recuperação de áreas desmatadas através de técnicas de plantio eucalipto,Agricultura,760,8/1/2019,4/6/2019,A,51626
171,Aoee4728,O impacto das mudanças climáticas nas ilhas e no litoral,Oceanografia,495,8/10/2020,15/2/2021,A,59270
172,Aatt4708,A transmissão de doenças pela água e medidas de prevenção,Engenharia ambiental,864,25/10/2018,15/2/2019,A,68608
173,BaW975,A relação entre a atividade sísmica e a exploração de água subterrânea,Geologia,1238,22/1/2020,15/2/2020,B,23351
175,Caee3040,A análise de dados orbitais para prever desastres naturais,Astronomia,1391,27/10/2019,3/3/2020,C,6394
176,BaA1920,A descoberta de novas fontes de energia a partir de materiais sintéticos,Química,838,25/6/2020,29/9/2020,B,19343
177,CoW881,O uso de drones na monitoração de habitats naturais,Engenharia elétrica,416,8/11/2022,26/12/2022,C,1174
182,Aaaa4244,A análise do comportamento sísmico de estruturas de concreto armado,Engenharia civil,514,25/9/2018,22/2/2019,A,69860
188,AaR599,A investigação de micro-organismos em solos para produção de biocombustíveis,Microbiologia,570,3/10/2021,12/2/2022,A,71846
191,BaA4594,A descoberta de novas substâncias para a produção de medicamentos,Farmacologia,457,7/8/2021,19/1/2022,B,47942
197,BmG3639,Monitoramento de desmatamento na Amazônia,Meio Ambiente,1439,3/1/2021,24/6/2021,B,49658
199,BaY2330,Avanços em nanotecnologia para a medicina,Medicina,976,26/7/2020,8/11/2020,B,35053
200,AaS3820,Análise de impactos ambientais na indústria,Engenharia Ambiental,888,19/11/2019,13/1/2020,A,63865
203,AdA2148,Desenvolvimento de novas fontes de energia renovável,Energia Renovável,679,2/3/2021,30/4/2021,A,72719
204,Cemm2264,Estudo da dinâmica das mudanças climáticas,Climatologia,968,7/1/2022,4/3/2022,C,5753
205,Cagg3648,Análise de dados genéticos para prevenção de doenças,Genética,826,2/5/2019,6/10/2019,C,6025
207,Bmoo925,Modelagem de crises climáticas globais,Climatologia,981,26/2/2022,17/6/2022,B,35667
208,Bdcc3599,Desenvolvimento de novos fármacos antitumorais,Oncologia,1223,10/8/2018,13/9/2018,B,34017
210,Cakk3402,Análise de dados de prevenção de epidemias,Saúde Pública,717,5/8/2020,18/12/2020,C,2866
211,BmK2154,Monitoramento de terremotos com Big Data,Geologia,373,19/4/2021,24/8/2021,B,21676
214,Bajj4001,Análise de impactos ambientais em hidrelétricas,Engenharia Ambiental,900,30/1/2018,22/2/2018,B,48745
215,CmW2040,Modelagem de previsão de crescimento econômico,Economia,988,10/12/2020,22/3/2021,C,8897
217,AeK769,Estudo da dinâmica de materiais em ambientes de microgravidade,Física,1198,21/4/2018,8/6/2018,A,98688
221,AeD2175,Estudo da formação de novas estrelas e galáxias,Astronomia,1348,1/1/2018,15/2/2018,A,50179
222,Aaff1561,Análise de práticas de ensino em escolas públicas,Educação,930,7/6/2021,19/11/2021,A,59385
224,CeU625,Estudo da eficácia de vacinas,Imunologia,665,20/11/2020,12/1/2021,C,2741
225,BaK1571,Análise de impactos ambientais em indústrias de mineração,Engenharia Ambiental,931,9/6/2022,24/9/2022,B,17186
226,AdU3921,Desenvolvimento de tecnologias sustentáveis para transporte,Engenharia de Transportes,757,7/6/2022,3/9/2022,A,68298
227,AmK3808,Modelagem de previsão de terremotos,Geologia,696,9/3/2020,30/4/2020,A,51464
230,AdR2682,Desenvolvimento de técnicas de produção sustentável de alimentos,Agricultura Sustentável,1145,20/12/2018,9/2/2019,A,88629
232,Aaii4371,Análise da eficácia de tratamentos contra o câncer,Oncologia,966,15/10/2018,27/2/2019,A,63000
233,BdR4669,Desenvolvimento de tecnologias de armazenamento de energia,Energia,589,16/5/2022,21/10/2022,B,31097
235,BeN1293,Estudo de dinâmica populacional na África,Demografia,1169,6/12/2020,3/2/2021,B,43015
236,CaF977,Análise de impactos ambientais em rodovias,Engenharia de Transportes,1394,25/9/2018,22/11/2018,C,5835
238,CmD4954,Modelagem de previsão de epidemias de doenças respiratórias,Epidemiologia,657,8/12/2018,16/4/2019,C,3625
3,Comm2469,O Uso de Drones para a Coleta de Dados Ambientais,Engenharia Ambiental,701,19/4/2020,6/7/2020,C,6244
33,BmG2128,Modelagem de tráfego urbano e planejamento de transportes,Engenharia de Transportes,983,10/2/2018,1/6/2018,B,45220
34,Aduu3630,Desenvolvimento de células solares eficientes,Engenharia de Materiais,380,9/11/2020,8/12/2020,A,86037
36,Adkk1501,Desenvolvimento de sistemas robóticos inteligentes,Ciência da Computação,1303,26/9/2021,3/12/2021,A,69322
38,AeN1659,Estudos de ocorrência de tsunamis em regiões costeiras,Oceanografia,591,9/12/2022,16/5/2023,A,67910
39,AeG4133,Estudos de impacto ambiental de construções,Engenharia Ambiental,502,27/1/2018,19/3/2018,A,97719
40,BeA1501,Estudos epidemiológicos de doenças crônicas,Epidemiologia,688,14/2/2021,18/7/2021,B,31325
41,Adpp3427,Desenvolvimento de vacinas eficazes contra COVID-19,Imunologia,1368,4/2/2019,10/4/2019,A,74866
43,BdH2024,Desenvolvimento de novos materiais para baterias de carros elétricos,Engenharia de Materiais,824,17/5/2021,13/8/2021,B,10547
44,Beff248,Estudos de impacto do aquecimento global nos oceanos,Oceanografia,1051,23/11/2022,5/3/2023,B,27632
45,Beuu87,Estudos de genômica de espécies ameaçadas de extinção,Biologia Molecular,1079,26/9/2020,2/2/2021,B,49101
46,Bepp2789,Estudos de impacto ambiental de exploração de petróleo,Geologia,325,15/10/2019,2/3/2020,B,38037
47,AdP3770,Desenvolvimento de sistemas de inteligência artificial para a indústria,Ciência da Computação,631,14/7/2019,31/12/2019,A,91842
48,Ceab2973,Estudos de microplásticos em regiões costeiras,Oceanografia,763,20/4/2021,21/9/2021,C,6797
50,AeE465,Estudos de dinâmica populacional de espécies marinhas,Oceanografia,669,25/10/2021,12/1/2022,A,94164
51,Aeee2011,Estudos de impacto ambiental de usinas hidroelétricas,Engenharia Ambiental,404,29/10/2020,28/12/2020,A,92732
53,BeD491,Estudos de impacto ambiental de mineração,Geologia,1088,23/3/2019,17/6/2019,B,42668
54,Aegg1592,Estudos de anatomia e fisiologia de animais selvagens,Zoologia,351,23/7/2018,12/12/2018,A,79165
55,BeU1859,Estudo da variação do clima global nos últimos 100 anos,Climatologia,530,10/10/2020,24/3/2021,B,16220
56,CaE1527,Análise de impacto da poluição atmosférica na saúde humana,Saúde Pública,958,22/3/2020,25/6/2020,C,9913
57,Amll2305,Mapeamento da biodiversidade na floresta amazônica,Ecologia,1435,30/11/2019,12/4/2020,A,81705
58,BaJ4265,Análise das tendências de crescimento populacional mundial,Demografia,1140,24/6/2021,11/11/2021,B,36180
60,Ceab3668,Estudo de comportamento dos animais em cativeiro,Zoologia,1193,22/9/2021,28/1/2022,C,8707
61,CaI3342,Análise de técnicas de reciclagem de resíduos sólidos urbanos,Engenharia Ambiental,1286,24/3/2020,4/6/2020,C,5746
62,Ceyy2245,Estudo das alterações nos ecossistemas marinhos devido à acidificação dos oceanos,Oceanografia,433,14/1/2018,13/6/2018,C,2483
67,Caqq4510,Análise da resistência bacteriana a antimicrobianos,Microbiologia,517,3/10/2018,29/2/2019,C,8908
69,Aaww9,Avaliação da efetividade de vacinas em prevenir doenças,Imunologia,906,10/5/2019,15/10/2019,A,82872
71,Bauu1159,Análise da utilização de fontes renováveis de energia no mundo,Energia Renovável,1038,9/9/2018,2/10/2018,B,44647
72,BmS4743,Mapeamento do genoma humano,Genética,1109,18/9/2018,8/11/2018,B,31738
73,AeG2985,Estudo da relação entre o nível do mar e a mudança climática,Oceanografia,1079,26/2/2018,27/7/2018,A,88004
74,Benn1030,Estudo da variação do clima global nos últimos 100 anos,Climatologia,933,21/10/2018,23/12/2018,B,42824
75,AaY3306,Análise de impacto da poluição atmosférica na saúde humana,Saúde Pública,945,7/11/2022,5/3/2023,A,62797
76,AmD4771,Mapeamento da biodiversidade na floresta amazônica,Ecologia,977,20/11/2022,3/2/2023,A,64356
77,CaC4735,Análise das tendências de crescimento populacional mundial,Demografia,1355,12/7/2020,15/11/2020,C,5178
79,Aegg1159,Estudo de comportamento dos animais em cativeiro,Zoologia,1483,1/9/2021,18/2/2022,A,70818
80,Cacc4220,Análise de técnicas de reciclagem de resíduos sólidos urbanos,Engenharia Ambiental,780,11/6/2022,8/9/2022,C,9492
81,CeV350,Estudo das alterações nos ecossistemas marinhos devido à acidificação dos oceanos,Oceanografia,416,21/6/2019,28/7/2019,C,4364
86,BaK3414,Análise da resistência bacteriana a antimicrobianos,Microbiologia,422,16/12/2018,8/3/2019,B,22628
88,Aaww4038,Avaliação da efetividade de vacinas em prevenir doenças,Imunologia,824,1/1/2020,3/3/2020,A,96385
90,CaH21,Análise da utilização de fontes renováveis de energia no mundo,Energia Renovável,474,13/4/2020,31/5/2020,C,7282
91,CmH1888,Mapeamento do genoma humano,Genética,1044,13/8/2018,22/9/2018,C,2599
92,AeJ4287,Estudo da relação entre o nível do mar e a mudança climática,Oceanografia,947,4/6/2020,17/8/2020,A,61042
93,AeA608,Estudo da Evolução das Bactérias na Era Pós-Antibióticos,Microbiologia,747,26/4/2018,24/8/2018,A,55639
94,AsA3850,Simulação de Mudanças Climáticas na Floresta Amazônica,Ecologia,1171,16/7/2019,24/10/2019,A,88254
99,Cdza3449,Descobrindo Curas para Doenças Raras,Medicina,1232,2/10/2020,28/3/2021,C,5505
100,Bdrr2258,Desenvolvendo Novas Tecnologias para Combate ao Câncer,Oncologia,361,10/11/2019,26/1/2020,B,44834
102,AeJ2954,Estudo dos Comportamentos Emergentes em Sistemas Sociais Complexos,Sociologia,1011,30/4/2021,13/8/2021,A,55568
105,Aeff3832,Estudo da Física Quântica Aplicada à Computação,Física,748,1/5/2020,29/8/2020,A,50563
106,AdP2185,Desenvolvimento de Novos Materiais para Energias Renováveis,Engenharia de Materiais,1395,12/1/2019,25/3/2019,A,51062
107,Caff4540,Análise de Dados Sísmicos para Prever Terremotos,Geologia,576,22/6/2020,13/11/2020,C,9298
109,Aexx2540,Estudo da Relação Entre Alimentação e Desenvolvimento Cognitivo em Crianças,Nutrição,907,26/9/2018,17/11/2018,A,94995
112,AeJ1126,Estudo da Biologia de Plantas Medicinais para Desenvolvimento de Fármacos,Farmacologia,346,8/11/2018,17/12/2018,A,97106
113,Cdyy13,Desenvolvimento de Novas Fontes de Energia Limpa,Energia,645,8/2/2019,19/5/2019,C,6236
114,CaN1249,Análise de Dados de Neuroimagem para Entender a Mente Humana,Neurociência,685,1/10/2020,8/1/2021,C,9955
115,Cess2624,Estudo da Geografia Humana para Entender a Distribuição Populacional Global,Geografia,632,4/9/2019,9/11/2019,C,5773
118,BdW775,Desenvolvimento de Novas Tecnologias para Depuração de Água em Regiões Carentes,Engenharia Ambiental,1191,10/9/2019,26/11/2019,B,36466
121,BdU1670,Desenvolvimento de Tecnologias para Exploração Sustentável de Recursos Marinhos,Oceanografia,867,16/9/2020,31/12/2020,B,11287
123,Cass2840,Agricultura e Mudanças Climáticas,Agricultura,1245,17/7/2020,7/10/2020,C,1239
127,BeD2934,Epidemiologia,Epidemiologia,1234,12/7/2022,16/10/2022,B,16290
128,Cdaa1230,Desenvolvimento de Algoritmos para Análise de Dados Climáticos,Climatologia,596,4/9/2018,12/1/2019,C,9500
131,AbN3289,Biologia Molecular e Engenharia Genética,Biologia Molecular,1320,18/10/2022,22/3/2023,A,66083
133,AaQ839,Astronomia e Astrofísica,Astronomia,741,25/12/2021,27/5/2022,A,76905
135,Crrr1423,Recursos Hídricos e Ambiental,Recursos Hídricos,357,30/1/2020,13/6/2020,C,6211
137,Cncc4730,Neurociência e Computação,Neurociência,388,20/10/2018,18/12/2018,C,9098
139,AcS4700,Criptografia,Segurança da Informação,1057,25/6/2020,20/10/2020,A,89482
141,CoV1205,Oncologia,Oncologia,1092,5/12/2018,4/2/2019,C,4529
145,AbL1558,Bioquímica e Fitoterapia,Bioquímica,591,9/2/2019,13/4/2019,A,98035
147,AeZ4494,Educação e Tecnologia,Educação,800,22/11/2021,19/12/2021,A,98631
151,Aeee719,Engenharia Ambiental e Química,Engenharia Ambiental,1161,8/6/2022,27/11/2022,A,99101
152,Aegg2418,Estudos sobre a Ecologia de Paisagens Urbanas,Ecologia,1201,29/10/2018,8/11/2018,A,76568
155,AdS4432,Desenvolvimento de modelos de previsão de terremotos por meio de aprendizado de máquina,Geologia,1395,19/12/2022,4/2/2023,A,50539
157,Aapp2097,Aplicação de modelos de previsão de epidemias usando deep learning,Epidemiologia,598,26/6/2022,14/9/2022,A,80142
158,Cavv2938,Análise da distribuição de espécies de aves em diferentes habitats,Ecologia,377,27/12/2018,8/2/2019,C,6385
159,CdO1097,Desenvolvimento de métodos de análise de dados para detecção de fraude em transações financeiras,Ciência da Computação,735,26/8/2021,31/1/2022,C,5362
160,CeU323,Estudos de mudanças climáticas usando satélites e modelos numéricos,Climatologia,962,14/5/2019,10/6/2019,C,1857
162,BaT3657,Análise de riscos ambientais com base em informações geoespaciais,Geografia,1156,3/11/2018,10/2/2019,B,15794
163,Cevv1373,Estudos de comportamento animal em ambientes urbanos,Zoologia,751,13/10/2020,28/3/2021,C,7015
165,Begg4575,Estudos de impacto ambiental de parques eólicos offshore,Engenharia Ambiental,703,11/2/2019,5/4/2019,B,45574
166,Cdoo640,Desenvolvimento de novos materiais a partir de nanotecnologia,Física,650,25/1/2018,6/3/2018,C,9340
169,CaN4532,Análise do papel dos microbiomas em enfermidades autoimunes,Imunologia,836,12/9/2020,27/10/2020,C,4971
175,BdK4717,Desenvolvimento de modelos de previsão de desastres naturais usando aprendizado de máquina,Geologia,356,3/10/2018,14/11/2018,B,38728
176,AeS103,Estudos de ecologia de zonas úmidas em diferentes partes do mundo,Ecologia,664,7/5/2022,24/10/2022,A,90685
177,CdM3354,Desenvolvimento de novos tratamentos para doenças autoimunes,Farmacologia,959,13/2/2022,18/3/2022,C,1733
179,BeZ3774,Estudo de mecanismos de envelhecimento humano a partir de análise de circuitos celulares,Biologia Molecular,601,25/12/2021,7/3/2022,B,13237
180,Bdcc309,Desenvolvimento de algoritmos para análise de grande quantidade de dados em tempo real,Ciência da Computação,347,21/2/2019,1/4/2019,B,15113
181,AeR692,Estudos de diversidade de animais marinhos na costa brasileira,Oceanografia,689,29/9/2018,16/1/2019,A,98597
183,Aoff3660,Os impactos da mudança climática na biodiversidade,Ecologia,1211,5/1/2022,2/6/2022,A,98418
184,AdQ4464,Desenvolvimento de novos materiais para captura de CO2,Química,1084,3/6/2022,5/8/2022,A,99237
185,CnK1728,Novas tecnologias para o tratamento de água,Engenharia ambiental,792,10/3/2022,7/8/2022,C,1048
186,Aeza635,Entendendo a dinâmica dos oceanos,Oceanografia,935,7/4/2019,26/9/2019,A,84144
188,Bdee2223,Desenvolvimento de novas terapias para doenças neurodegenerativas,Neurociência,1491,1/12/2020,21/1/2021,B,45406
189,CeT1487,Estudos epidemiológicos de doenças infecciosas emergentes,Epidemiologia,551,14/6/2018,26/8/2018,C,3460
191,CnC2506,Novas tecnologias para diagnóstico e tratamento do câncer,Oncologia,368,21/12/2019,17/1/2020,C,9273
193,Cevv529,Estudos sobre a interação entre plantas e microorganismos do solo,Microbiologia,958,11/11/2021,10/12/2021,C,3479
195,CdR448,Desenvolvimento de novos materiais para energia solar,Física,395,1/7/2022,28/8/2022,C,7944
197,Bell1906,Estudos sobre a transmissão de energia elétrica,Engenharia elétrica,426,19/8/2022,18/1/2023,B,48288
198,Bduu4287,Desenvolvimento de sistemas de armazenamento de energia,Engenharia de materiais,810,12/10/2018,24/1/2019,B,37741
199,Cnll964,Novas tecnologias para monitoramento de poluentes atmosféricos,Engenharia química,879,25/6/2020,9/7/2020,C,6739
201,Cdyy4525,Desenvolvimento de novos sensores para detecção de contaminação por metais pesados,Bioquímica,589,3/1/2021,12/3/2021,C,5220
209,BdV1956,Desenvolvimento de novos métodos para a análise de dados em genômica,Genética,951,29/4/2018,15/6/2018,B,46137
212,BtT272,Tecnologias limpas para a indústria do petróleo,Energia,725,27/8/2020,21/10/2020,B,23351
213,Beee1880,Engenharia de materiais para dispositivos semicondutores,Física,1145,25/11/2021,17/1/2022,B,37158
215,Bdxx2293,Desenvolvimento de biocombustíveis a partir de resíduos agrícolas,Química,786,30/2/2019,7/6/2019,B,11848
216,AbL3697,Biomateriais para regeneração óssea,Medicina,701,10/7/2020,6/10/2020,A,83555
217,Ceoo2016,Estudo dos efeitos da contaminação ambiental na saúde humana,Saúde Pública,1015,18/1/2020,22/4/2020,C,5035
218,Ataa4088,Tecnologias verdes para a produção de alimentos,Agricultura,463,6/7/2019,29/10/2019,A,91829
219,Cprr1285,Pesquisa de novos fármacos para o tratamento de doenças neurológicas,Farmacologia,578,16/3/2020,7/7/2020,C,9482
220,AeL3535,Estudo da genética de populações para a conservação de espécies ameaçadas,Biologia,551,16/9/2020,28/11/2020,A,88941
221,Asdd3045,Soluções sustentáveis para a mobilidade urbana,Engenharia de Transportes,958,10/12/2020,28/5/2021,A,70909
223,Bell2222,Estudo dos impactos do aquecimento global nos ecossistemas marinhos,Oceanografia,1005,26/8/2021,19/12/2021,B,13180
224,Adww1420,Desenvolvimento de soluções tecnológicas para a prevenção de desastres naturais,Geologia,886,16/4/2019,29/6/2019,A,60014
225,Aell2209,Economia circular: redução de resíduos e aproveitamento de recursos,Economia,1256,28/1/2020,12/4/2020,A,76485
231,Bsss1113,Soluções para o controle da poluição atmosférica em áreas urbanas,Meio Ambiente,1038,15/11/2019,10/3/2020,B,47339
232,CeK1220,Estudos de biotecnologia para produção de biomassa,Bioquímica,736,29/12/2021,4/4/2022,C,6637
238,Cemm3630,Estudo da ecologia de comunidades para conservação de espécies,Ecologia,566,27/2/2022,23/6/2022,C,7996
240,CdU423,Desenvolvimento de tecnologias para a produção de alimentos orgânicos,Agroecologia,564,22/7/2021,12/8/2021,C,4049
241,CtR3711,Tecnologias avançadas para monitoramento ambiental em áreas urbanas,Meio ambiente,1397,20/4/2021,16/6/2021,C,8741
243,AdY4108,Desenvolvimento de novos materiais para construção sustentável,Engenharia civil,948,8/3/2019,19/8/2019,A,57405
245,AaQ514,Análise de dados para prevenção de epidemias e pandemias,Epidemiologia,1335,8/1/2022,13/3/2022,A,62461
249,Cmdd720,Monitoramento do derretimento de geleiras e impactos no meio ambiente,Meio ambiente,1399,18/1/2020,28/6/2020,C,9007
261,Bmyy3039,Monitoramento de florestas tropicais e desenvolvimento de soluções para desmatamento ilegal,Meio ambiente,464,14/2/2020,17/5/2020,B,26639
